club_id,club_tag
602,11
1217,1
1217,7
1217,11
789,6
789,11
1034,1
975,1
923,7
656,1
374,2
374,4
1174,7
1174,8
1174,10
872,12
601,11
1087,11
447,8
695,5
695,6
419,1
1269,1
706,3
659,3
659,8
117,4
552,4
378,4
378,12
381,3
381,4
470,4
470,13
480,12
181,1
906,8
402,1
402,4
146,4
432,7
80,13
1284,4
484,3
1246,5
1246,12
75,3
479,3
479,4
479,8
412,3
412,8
983,3
1197,8
768,11
1312,1
1312,5
354,3
838,1
1287,1
972,1
972,8
928,12
144,4
554,1
373,4
490,3
1251,4
461,9
604,11
640,11
603,11
804,11
547,3
467,1
467,2
467,3
467,4
467,9
310,3
922,2
922,4
801,11
452,4
802,11
783,11
806,11
364,2
364,4
364,6
476,11
1078,3
1078,4
1078,8
1316,2
1316,3
1316,4
540,12
157,3
675,11
280,1
255,8
409,4
409,11
992,1
805,11
608,11
609,11
610,11
611,11
612,11
683,4
53,4
503,12
48,12
420,12
1190,4
1190,13
513,8
513,11
502,11
673,11
213,1
213,21
1291,7
1291,8
712,11
1223,1
1223,6
1223,7
1223,11
228,1
512,2
512,7
512,11
858,2
422,3
122,4
1285,2
1285,4
613,11
962,7
962,8
962,11
269,2
269,12
844,3
543,1
964,2
964,3
964,8
188,4
638,11
523,1
827,5
827,7
829,3
837,1
837,11
1180,1
1180,11
1238,1
551,11
1134,7
1,9
1191,9
177,4
1313,1
674,11
58,1
58,6
433,1
535,6
535,11
1213,1
1213,11
94,12
879,1
879,8
879,11
355,2
355,3
355,8
1233,11
1086,3
1086,4
1086,11
1207,11
1323,8
1323,11
1293,7
1293,10
1199,4
360,3
360,8
317,10
1208,1
155,1
155,21
655,1
655,6
655,9
1068,1
1068,11
1315,4
614,11
1289,3
1289,8
1231,3
1231,4
1231,9
13,1
13,2
13,8
13,10
715,11
667,1
616,11
615,11
626,7
626,11
626,12
1304,8
1235,1
1235,6
521,1
521,2
651,3
651,11
617,11
347,3
1322,7
1322,10
1322,11
1322,13
897,12
71,3
309,1
1258,3
468,1
1254,2
1254,4
1294,2
1294,7
1294,8
1294,10
859,2
293,3
1249,11
708,11
394,11
1154,4
618,11
807,11
619,11
1255,3
1260,1
1260,7
1260,11
11,2
11,4
1314,1
1314,7
1314,8
1237,13
1281,2
1281,3
1281,8
1008,2
1008,8
1008,10
496,8
981,2
981,4
257,3
149,2
149,3
149,4
149,7
149,8
963,1
963,4
947,1
201,6
201,7
201,11
752,1
752,7
752,11
997,7
997,9
861,11
1183,8
1324,7
1324,11
620,11
1241,1
491,4
621,11
379,6
1203,7
1203,11
534,4
1175,6
672,11
622,11
623,11
624,11
685,1
1041,11
1196,1
111,3
110,3
399,3
1262,1
1262,5
1262,7
1262,11
890,7
890,11
187,7
187,11
536,1
536,6
536,7
536,9
1292,2
1292,7
1292,10
1292,11
941,4
1280,1
120,4
542,4
174,2
174,4
191,11
627,11
219,3
792,11
527,9
711,3
1307,3
1307,4
413,3
886,4
886,6
1239,1
1239,4
1239,6
395,6
431,6
524,12
993,11
112,6
759,6
386,1
